Name,Former names,Established,President,Academic staff,Administrative staff,Students,Address,Campus,Colours,Affiliations,Website,ASN,Motto,Motto in English,Religious affiliation,Academic affiliations,Endowment,Chancellor,Colors,Type,Chairperson,Location,Nickname,Mascot,"Chair, Board of Governors",Former name,Campuses,Affiliation,Sporting affiliations,Director
Alberta University of the Arts,Alberta College of Art Alberta College of Art and Design,1926 ( 1926 ) note 1 1,Daniel Doz 2,145,95,"1,323 3 as of fall 2012","1407 14 Avenue NW Calgary , Alberta T2N 4R3  51.06205°N 114.09143°W51.06205; -114.09143",Urban,Red White,"AICAD , ACCC , CCAA , Alberta Colleges Athletics Conference , Alberta Association of Colleges & Technical Institutes , CBIE, NASAD",auarts .ca,54307.0,,,,,,,,,,,,,,,,,,
Acadia University,Queen's College (1838–1841) Acadia College (1841–1891),1838 ; 186 years ago ( 1838 ),Jeffrey J. Hennessy,,"211 full-time, 37 part-time (as of 2008)","4,542 1",,250 acres (101 ha),Red and blue,,www2 .acadiau .ca /home .html,,In pulvere vinces,"""By effort ( lit. ' in dust ' ), you will conquer""",Currently non-denominational; initially founded by Baptists,"AUCC , IAU , CUSID , CBIE, CUP , Maple League of Universities",$109.4 million (2021),Bruce Galloway,,,,,,,,,,,,
Algoma University,,1965,Asima Vezina 2,,,,,,"Red, Grey, Gold, Light Green",,algomau .ca,,,,,"COU , Universities Canada",,Mario Turco 1,,,,,,,,,,,,
Athabasca University,,1970,Alex Clark 2,,,"40,630 3",,"Online , rural and urban",Blue and orange,ACU CVU MSCHE UArctic Universities Canada,www .athabascau .ca,,Learning for Life 1,,,,,,,,,,,,,,,,,
Bishop's University,,1843 ; 181 years ago ( 1843 ) 1,,115,,"2,867 1",,"Rural, 220 ha (550 acres) 1 , 550",Purple and silver,,www .ubishops .ca,,Recti cultus pectora roborant ( Latin ),Righteous ways makes strong the heart,,"AUCC , IAU , QSSF , CBIE, CUP , Maple League of Universities",C$ 32.5 million 2,Daniel Fournier,,,,,,,,,,,,
Brandon University,,1890,David Docherty,,,"2,980",,Urban,Blue & gold,,www .brandonu .ca,,"Aletheuontes de en Agape ""Speaking the truth in love""",,,"AUCC , IAU , ACU , CUSID , Campus Manitoba , CUP .",C$ 34 million 1,Mary Jane McCallum,,,,,,,,,,,,
Brock University,,1964,Lesley Rigg,594 3,921 3,"19,112 4",,Suburban,"Red, grey, and black",,brocku .ca,,Surgite!,Push on!,,"CARL , COU , Universities Canada",$123 million 1,Hilary Pearson,,,,,,,,,,,,
Cape Breton University,Xavier Junior College (1951) Nova Scotia Eastern Institute of Technology (1968) College of Cape Breton (1974) University College of Cape Breton (1982) 1,1951 (as Xavier Junior College) 1968 (as NSEIT) 1974 (as College Of Cape Breton) 1982 (as University College of Cape Breton) 2005 (as Cape Breton University),David Dingwall,227 4 (as of March 2019 update ),225 5 (as of March 2019 update ),"9,138 (2022) 6","P.O. Box 5300 , Sydney , Nova Scotia , B1P 6L2 , Canada",Urban,"Orange, green, black, gold",,www .cbu .ca,,"Scottish Gaelic : Theid Díchioll Air Thoiseach , ""Diligence Will Prevail"" 2",Perseverance Will Triumph,,,$27.8M 3,Annette Verschuren,,,,,,,,,,,,
Capilano University,,1968 ; 56 years ago ( 1968 ) 1,Paul Dangerfield 3,,,"6,364 (2021) 5",,,Blue & white,,capilanou .ca,,,"""Through learning to a greater good""",,"AUCC , ACCC , NWCCU , CBIE, CUP",,Yuri Fulmer 2,,,,,,,,,,,,
Carleton University,,1942 ; 82 years ago ( 1942 ),"Jerry Tomberlin, Interim President (current-Jan. 1, 2025), Wisdom Tettey, President-Designate (term commences Jan. 1, 2025)",,"5,328","30,678","1125 Colonel By Drive Ottawa, Ontario , Canada  45.3831°N 75.6976°W45.3831; -75.6976","Urban, 62 ha (150 acres)",Black and red 3,,carleton .ca,,"""Ours the Task Eternal""",,,"AACSB , ASAIHL , APSIA , CARL , COU , Fields Institute , Universities Canada",C$361.4 million 1,Yaprak Baltacioğlu,,,,,,,,,,,,
Concordia University (Montreal),Sir George Williams University Loyola College,"August 24, 1974 ( 1974-08-24 ) by the merger of Loyola College (1896) and Sir George Williams University (1926). 3",Graham Carr 6,"4,439 (as of 2020–21) 7","2,283 (as of 2020–21) 7","49,898 (as of 2022–23) 7",,"Sir George Williams Campus : Urban Loyola Campus : Suburban, 40 acres (16 ha)",Maroon Gold Black White,,concordia .ca,,,,,"CARL , CUSID , IAU , Universities Canada",C$ 344.004 million (2022) 4,,,,,,,,,,,,,
Dalhousie University,Dalhousie College (1818–1863) The Governors of Dalhousie College and University (1863–1996),1818 ; 206 years ago ( 1818 ),Kim Brooks 3,867 full-time 274 clinical dentistry & medicine 826 part-time,,"20,970 4",,"Studley campus, 79 acres (32 ha) Agricultural Campus, 151 acres (61 ha)","Beak gold, cloud white, wingtip black 5",,www .dal .ca,,Ora et Labora ( Latin ) On seal: Doctrina vim promovet insitam ( Latin ),Pray and work On seal: Teaching promotes innate ability,,ACU CARL CUSID Universities Canada U15,$ 681.5 million 1,Rustum Southwell 2,,,,,,,,,,,,
Emily Carr University of Art and Design,,"October 1, 1925 (99 years ago)",Trish Kelly (Interim),120,190,"2,185 (2023) 2",,Urban,Black & white,,www .ecuad .ca,,"""Eye, Mind, and Hand""",,,"AICAD , Universities Canada",$6.18 million (2022) 1,Carleen Thomas,,,,,,,,,,,,
Kwantlen Polytechnic University,,1981 ; 43 years ago ( 1981 ),Alan Davis 3,"1,400",,"14,259 5",,"Urban , 92.988 acres (0.376 km 2 ) net",Rich Burgundy White,"AUCC , IAU , CICan , ACU , CBIE, CUP",www .kpu .ca,,"Through Tireless Effort, Knowledge, and Understanding",,,,$13 million 1,Kim Baird 2,,,,,,,,,,,,
Lakehead University,,Lakehead University 1965; Lakehead Technical Institute 1946,Dr. Gillian Siddall,319 (full time) 1,"2,250","6,729 (2017) 2",,Rural/suburban,Cobalt & blaze 3,,www .lakeheadu .ca,,Ad augusta per angusta,Achievement through effort,,"COU , CUSID , UArctic , Universities Canada",$31.14 million,Rita Deverell,,,,,,,,,,,,
MacEwan University,"Grant MacEwan University, Grant MacEwan College, Grant MacEwan Community College",1971 ( 1971 ),Annette Trimbee,972,,"18,366 1","10700 104 Avenue NW Edmonton , Alberta T5J 4S2  53.54694°N 113.50472°W53.54694; -113.50472",Urban,Maroon & White,,www .macewan .ca,,Latin : Discendo Floremus,Through learning we flourish,,"AUCC , ACCC , AACTI , CBIE, CUP , CIS",,,,,,,,,,,,,,
Mount Royal University,,1910,Tim Rahilly,740 2,,"15,573",,Lincoln Park ( Urban ) Springbank ( Urban ),"Blue , Lincoln Blue, Focus Blue, White , Silver 4","AUCC , U Sports , AACTI , CBIE, CONAHEC",www .mtroyal .ca,,Quam Bene Non Quantum,"How well, not how much",,,C$ 99 million 1,,,,,,,,,,,,,
University of Alberta,,1908 ; 116 years ago ( 1908 ),Bill Flanagan,"4,004 5","5,021 5","43,490",,Urban,Green & Gold 7,,ualberta.ca,,Quaecumque vera ( Latin ),Whatsoever things are true,,,CA$ 1.7 billion 2,Peggy Garritty 3,,,,,,,,,,,,
University of Calgary,,26 April 1966 (58 years ago) ( 1966-04-26 ),Ed McCauley,"1,848 4","3,116 4","36,330 5",,"Urban, 4.13 km 2 (1.59 sq mi)","Red, gold, and black 6",,www .ucalgary .ca,,Mo Shùile Togam Suas ( Gaelic ),I will lift up my eyes,,"CARL , CUSID , IAU , Universities Canada , U15",CA$1.176 billion (2023) 1,Jon Cornish 2,,,,,,,,,,,,
University of Lethbridge,,1967 ; 57 years ago ( 1967 ),Digvir Jayas 2,491,,"8,263","4401 University Drive Lethbridge , Alberta T1K 3M4  49.6782°N 112.8640°W49.6782; -112.8640","Urban 185 ha (1,850,000 m 2 )",Blue and Gold,,www .ulethbridge .ca,,Latin : Fiat Lux,Let there be light,,Universities Canada,$95 million (2023) 1,Terry Whitehead,,,,,,,,,,,,
Royal Roads University,,1995,Philip Steenkamp,"52 full-time, plus 450 associate faculty",,"3,220",,Urban,White & blue,"AUCC , IAU , CVU",www .royalroads .ca,,"HUĆIST TŦE S,HELI ŁTE.","""Living Our Learning""",,,$40 million,Nelson Chan,,,,,,,,,,,,
Simon Fraser University,,1965 ; 59 years ago ( 1965 ),Joy Johnson,"1,095",,"30,380 (Fall 2022) 3",,"3 ( Burnaby , Surrey , Vancouver )","Light red , dark red 4",,www .sfu .ca,,Nous sommes prêts ( French ),"""We are ready""",,"ACU , CARL , CUSID , Universities Canada",CA$ 605 million (2021) 1,Tamara Vrooman,,,,,,,,,,,,
Thompson Rivers University,,1970 ; 54 years ago ( 1970 ),Brett Fairbairn,About 500 (as of 2022) 1,,"12,812 FTE, 27,701 total including on campus, online and dually enrolled, part and full time 2",,Urban,TRU Blue TRU Sage,"U Sports , AUCC , IAU , CVU , CWUAA , CBIE, CUP , RUCBC .",www .tru .ca,,T7ETSXEMÍNTE RE STSELXMÉM means “to strive ahead” in Secwepemctsín . It indicates that the journey of learning is enduring and unremitting.,,,,,Nathan Matthew,,,,,,,,,,,,
University of British Columbia,,1908 ; 116 years ago ( 1908 ),Benoit-Antoine Bacon,"5,696 (Vancouver) 600 (Okanagan) 4","10,647 (Vancouver) 835 (Okanagan) 4","66,266 5",,Vancouver: 4.020 km 2 (993 acres) Okanagan: 2.086 km 2 (515 acres),Blue and gold 7,,ubc .ca,,Tuum Est ( Latin ) 1,"""It is up to you"" ""It is yours""",,"ACU , APRU , ASAIHL , Universities Canada , U15",CA$2.8 billion (2023) 2,Steven Point,,,,,,,,,,,,
University of Victoria,Victoria College,"July 1, 1963 ; 60 years ago ( 1963-07-01 ) note 1 1",Kevin Hall 4,900 faculty 6,"5,251 employees 7","22,060 7",,"Urban , 163 hectares (403 acres)",Red Gold Blue,,www .uvic .ca,,"""Multitudo sapientium sanitas orbis"" ( Latin ) "" יְהִי אוֹר "" ( Hebrew )","""A multitude of the wise is the health of the world"" "" Let there be light """,,,$525 million (2021) 2,Marion Buller 3,,,,,,,,,,,,
University of the Fraser Valley,,1974 ; 50 years ago ( 1974 ) 2,Joanne MacLean 4,710 5 (c. 2012),,"9,270 6",,"Urban , 26 ha (64 acres) (Abbotsford)",Green,U Sports AUCC CWUAA CBIE CUP CASA .,www .ufv .ca,,Iyaqáwtxw,"Halkomelem : ""house of transformation"" 1",,,,Andy Sidhu 3,,,,,,,,,,,,
University of Northern British Columbia,,1990 ; 34 years ago ( 1990 ),Geoffrey Payne,,,"3,310",,UNBC Main Campus (Prince George) Wood Innovation and Design Centre (Prince George) Peace River-Liard Campus (Fort St. John) Northwest Campus (Terrace) South-Central Campus (Quesnel),Gold and green,,www .unbc .ca,,'En Cha Huná ( Carrier ),"He/she also lives (translated as ""respecting all forms of life"")",,"UArctic , Universities Canada",US$62.8 million (2020) 1,,,,,,,,,,,,,
